cell_type,experiment,n_cells_unet,fg_frac_unet,n_cells_cp,fg_frac_cp,unet_pred_mean
HEPG2,HEPG2-08,50,0.08026123046875,59,0.07738494873046875,0.08026123046875
HEPG2,HEPG2-10,72,0.1480560302734375,99,0.14385223388671875,0.1480560302734375
HEPG2,HEPG2-06,117,0.2559661865234375,199,0.253143310546875,0.2559661865234375
HEPG2,HEPG2-01,194,0.45477294921875,581,0.40946197509765625,0.45477294921875
HEPG2,HEPG2-03,71,0.109344482421875,78,0.10878753662109375,0.109344482421875
HEPG2,HEPG2-05,23,0.0371856689453125,31,0.036224365234375,0.0371856689453125
HEPG2,HEPG2-06,160,0.2206268310546875,217,0.23780059814453125,0.2206268310546875
HEPG2,HEPG2-07,38,0.05169677734375,35,0.04685211181640625,0.05169677734375
HEPG2,HEPG2-01,151,0.4681396484375,588,0.3952980041503906,0.4681396484375
HEPG2,HEPG2-11,91,0.1829681396484375,133,0.17927169799804688,0.1829681396484375
HEPG2,HEPG2-01,143,0.4689178466796875,540,0.3702735900878906,0.4689178466796875
HEPG2,HEPG2-06,83,0.1481475830078125,114,0.13762664794921875,0.1481475830078125
HEPG2,HEPG2-11,68,0.1722259521484375,102,0.17734909057617188,0.1722259521484375
HEPG2,HEPG2-11,91,0.1787872314453125,129,0.16808319091796875,0.1787872314453125
HEPG2,HEPG2-06,93,0.179046630859375,131,0.17688751220703125,0.179046630859375
HUVEC,HUVEC-12,73,0.115386962890625,71,0.1151123046875,0.115386962890625
HUVEC,HUVEC-07,52,0.0612030029296875,48,0.05573272705078125,0.0612030029296875
HUVEC,HUVEC-06,66,0.1041717529296875,72,0.09699630737304688,0.1041717529296875
HUVEC,HUVEC-19,113,0.1492462158203125,95,0.13731002807617188,0.1492462158203125
HUVEC,HUVEC-13,87,0.14141845703125,98,0.14357376098632812,0.14141845703125
HUVEC,HUVEC-08,54,0.07086181640625,46,0.060779571533203125,0.07086181640625
HUVEC,HUVEC-02,75,0.1173858642578125,88,0.11894989013671875,0.1173858642578125
HUVEC,HUVEC-02,97,0.1417236328125,105,0.14501571655273438,0.1417236328125
HUVEC,HUVEC-10,58,0.1068267822265625,72,0.1065826416015625,0.1068267822265625
HUVEC,HUVEC-14,70,0.1024322509765625,70,0.09376144409179688,0.1024322509765625
HUVEC,HUVEC-17,95,0.1316680908203125,95,0.13264083862304688,0.1316680908203125
HUVEC,HUVEC-06,90,0.145965576171875,96,0.13354873657226562,0.145965576171875
HUVEC,HUVEC-15,41,0.066009521484375,41,0.05904388427734375,0.066009521484375
HUVEC,HUVEC-23,62,0.099700927734375,62,0.09720230102539062,0.099700927734375
HUVEC,HUVEC-03,72,0.1122283935546875,69,0.10773468017578125,0.1122283935546875
HUVEC,HUVEC-08,67,0.095184326171875,43,0.07198715209960938,0.095184326171875
HUVEC,HUVEC-18,73,0.089263916015625,69,0.089874267578125,0.089263916015625
HUVEC,HUVEC-13,113,0.16192626953125,118,0.16291427612304688,0.16192626953125
HUVEC,HUVEC-17,64,0.1156158447265625,68,0.10696792602539062,0.1156158447265625
HUVEC,HUVEC-19,84,0.1199951171875,88,0.12004470825195312,0.1199951171875
HUVEC,HUVEC-02,63,0.08782958984375,64,0.08554458618164062,0.08782958984375
HUVEC,HUVEC-19,70,0.1037750244140625,70,0.10284423828125,0.1037750244140625
HUVEC,HUVEC-03,97,0.1184539794921875,96,0.133270263671875,0.1184539794921875
HUVEC,HUVEC-12,75,0.0937347412109375,75,0.09772491455078125,0.0937347412109375
HUVEC,HUVEC-18,75,0.097259521484375,75,0.09853744506835938,0.097259521484375
HUVEC,HUVEC-02,56,0.066680908203125,59,0.0745086669921875,0.066680908203125
HUVEC,HUVEC-21,86,0.117584228515625,87,0.12000274658203125,0.117584228515625
HUVEC,HUVEC-15,76,0.0929412841796875,64,0.08430099487304688,0.0929412841796875
HUVEC,HUVEC-10,75,0.1219329833984375,80,0.11990737915039062,0.1219329833984375
HUVEC,HUVEC-02,76,0.1042633056640625,81,0.11015701293945312,0.1042633056640625
HUVEC,HUVEC-17,80,0.1275482177734375,94,0.13473129272460938,0.1275482177734375
HUVEC,HUVEC-17,106,0.16644287109375,125,0.16946029663085938,0.16644287109375
HUVEC,HUVEC-24,68,0.104888916015625,65,0.09554290771484375,0.104888916015625
HUVEC,HUVEC-05,49,0.0642547607421875,50,0.07040786743164062,0.0642547607421875
HUVEC,HUVEC-10,98,0.13134765625,97,0.14484024047851562,0.13134765625
HUVEC,HUVEC-07,25,0.032257080078125,19,0.02691650390625,0.032257080078125
HUVEC,HUVEC-04,57,0.074493408203125,55,0.07526779174804688,0.074493408203125
HUVEC,HUVEC-12,81,0.1257476806640625,87,0.1222381591796875,0.1257476806640625
HUVEC,HUVEC-01,67,0.1092376708984375,78,0.1210784912109375,0.1092376708984375
HUVEC,HUVEC-04,103,0.142059326171875,114,0.15414047241210938,0.142059326171875
HUVEC,HUVEC-01,108,0.1438140869140625,116,0.15212631225585938,0.1438140869140625
HUVEC,HUVEC-05,34,0.0585479736328125,36,0.056262969970703125,0.0585479736328125
HUVEC,HUVEC-11,98,0.1284332275390625,82,0.12451553344726562,0.1284332275390625
HUVEC,HUVEC-22,68,0.1233673095703125,75,0.1220245361328125,0.1233673095703125
HUVEC,HUVEC-06,77,0.0982818603515625,80,0.1050872802734375,0.0982818603515625
HUVEC,HUVEC-18,63,0.0810089111328125,58,0.07578277587890625,0.0810089111328125
HUVEC,HUVEC-09,89,0.114898681640625,92,0.1283416748046875,0.114898681640625
HUVEC,HUVEC-16,93,0.1488494873046875,101,0.14920806884765625,0.1488494873046875
HUVEC,HUVEC-20,80,0.1111297607421875,79,0.11508941650390625,0.1111297607421875
HUVEC,HUVEC-14,79,0.1144866943359375,81,0.1108856201171875,0.1144866943359375
HUVEC,HUVEC-18,93,0.1248931884765625,94,0.12134552001953125,0.1248931884765625
HUVEC,HUVEC-08,112,0.1680450439453125,125,0.16796493530273438,0.1680450439453125
HUVEC,HUVEC-07,81,0.1103515625,89,0.11263275146484375,0.1103515625
HUVEC,HUVEC-12,55,0.084869384765625,53,0.08595657348632812,0.084869384765625
HUVEC,HUVEC-07,2,0.00146484375,2,0.00023651123046875,0.00146484375
HUVEC,HUVEC-21,63,0.0955657958984375,67,0.09928512573242188,0.0955657958984375
HUVEC,HUVEC-22,100,0.1466522216796875,107,0.15572738647460938,0.1466522216796875
HUVEC,HUVEC-13,76,0.1154022216796875,82,0.12091445922851562,0.1154022216796875
HUVEC,HUVEC-21,67,0.0851287841796875,71,0.09614944458007812,0.0851287841796875
HUVEC,HUVEC-09,72,0.09014892578125,64,0.08843231201171875,0.09014892578125
HUVEC,HUVEC-19,85,0.1266632080078125,93,0.11738204956054688,0.1266632080078125
HUVEC,HUVEC-22,42,0.074127197265625,42,0.06598663330078125,0.074127197265625
HUVEC,HUVEC-23,18,0.029754638671875,16,0.02419281005859375,0.029754638671875
HUVEC,HUVEC-22,76,0.110931396484375,86,0.11252593994140625,0.110931396484375
HUVEC,HUVEC-18,79,0.1130523681640625,86,0.11998367309570312,0.1130523681640625
HUVEC,HUVEC-09,49,0.0675201416015625,49,0.0683135986328125,0.0675201416015625
HUVEC,HUVEC-05,55,0.0889892578125,56,0.08760833740234375,0.0889892578125
HUVEC,HUVEC-15,42,0.06146240234375,41,0.06188201904296875,0.06146240234375
HUVEC,HUVEC-03,109,0.1462554931640625,123,0.15535354614257812,0.1462554931640625
HUVEC,HUVEC-11,33,0.0496826171875,30,0.039600372314453125,0.0496826171875
HUVEC,HUVEC-01,70,0.107635498046875,68,0.10216522216796875,0.107635498046875
HUVEC,HUVEC-17,44,0.0800933837890625,33,0.0657196044921875,0.0800933837890625
HUVEC,HUVEC-17,32,0.04156494140625,28,0.0360260009765625,0.04156494140625
HUVEC,HUVEC-22,93,0.141845703125,96,0.13853073120117188,0.141845703125
HUVEC,HUVEC-21,19,0.019683837890625,13,0.016696929931640625,0.019683837890625
HUVEC,HUVEC-01,87,0.1396331787109375,103,0.14626312255859375,0.1396331787109375
HUVEC,HUVEC-04,78,0.11767578125,80,0.11093521118164062,0.11767578125
HUVEC,HUVEC-02,70,0.08953857421875,68,0.08901596069335938,0.08953857421875
HUVEC,HUVEC-21,90,0.1384429931640625,95,0.14242935180664062,0.1384429931640625
HUVEC,HUVEC-23,54,0.0649566650390625,52,0.06052398681640625,0.0649566650390625
HUVEC,HUVEC-15,92,0.119598388671875,95,0.11902999877929688,0.119598388671875
HUVEC,HUVEC-13,95,0.1580657958984375,105,0.16161346435546875,0.1580657958984375
HUVEC,HUVEC-11,69,0.0961761474609375,71,0.09787750244140625,0.0961761474609375
HUVEC,HUVEC-14,86,0.1284027099609375,94,0.12948989868164062,0.1284027099609375
HUVEC,HUVEC-12,98,0.1476287841796875,107,0.14683914184570312,0.1476287841796875
HUVEC,HUVEC-22,71,0.0993194580078125,72,0.10400772094726562,0.0993194580078125
HUVEC,HUVEC-22,76,0.104827880859375,85,0.12813568115234375,0.104827880859375
HUVEC,HUVEC-03,102,0.1509857177734375,118,0.157073974609375,0.1509857177734375
HUVEC,HUVEC-14,79,0.1182708740234375,88,0.11546707153320312,0.1182708740234375
HUVEC,HUVEC-20,23,0.037261962890625,19,0.02898406982421875,0.037261962890625
HUVEC,HUVEC-04,85,0.1230621337890625,97,0.12674331665039062,0.1230621337890625
HUVEC,HUVEC-14,136,0.1818389892578125,159,0.1730194091796875,0.1818389892578125
HUVEC,HUVEC-15,62,0.1015625,60,0.09419631958007812,0.1015625
HUVEC,HUVEC-06,76,0.1319427490234375,86,0.11944580078125,0.1319427490234375
HUVEC,HUVEC-05,54,0.0934600830078125,61,0.08820724487304688,0.0934600830078125
HUVEC,HUVEC-19,97,0.1278533935546875,97,0.124908447265625,0.1278533935546875
HUVEC,HUVEC-13,66,0.09613037109375,56,0.0931243896484375,0.09613037109375
HUVEC,HUVEC-11,45,0.08685302734375,47,0.07826614379882812,0.08685302734375
HUVEC,HUVEC-15,61,0.113983154296875,61,0.09533309936523438,0.113983154296875
HUVEC,HUVEC-20,114,0.176055908203125,127,0.18740081787109375,0.176055908203125
RPE,RPE-11,52,0.1012725830078125,58,0.101409912109375,0.1012725830078125
RPE,RPE-10,74,0.126220703125,59,0.09699249267578125,0.126220703125
RPE,RPE-09,50,0.10858154296875,52,0.09637069702148438,0.10858154296875
RPE,RPE-01,69,0.136383056640625,67,0.13370132446289062,0.136383056640625
RPE,RPE-01,41,0.0550384521484375,33,0.04814910888671875,0.0550384521484375
RPE,RPE-03,39,0.06341552734375,41,0.060092926025390625,0.06341552734375
RPE,RPE-02,35,0.0707244873046875,37,0.06853103637695312,0.0707244873046875
RPE,RPE-08,30,0.063232421875,30,0.0599517822265625,0.063232421875
RPE,RPE-09,56,0.1244049072265625,59,0.11777877807617188,0.1244049072265625
RPE,RPE-11,65,0.1303558349609375,67,0.12807464599609375,0.1303558349609375
RPE,RPE-10,54,0.11669921875,60,0.12210845947265625,0.11669921875
RPE,RPE-06,52,0.0880279541015625,46,0.07965469360351562,0.0880279541015625
RPE,RPE-03,49,0.0937957763671875,53,0.09514236450195312,0.0937957763671875
RPE,RPE-03,55,0.1133880615234375,57,0.11379623413085938,0.1133880615234375
RPE,RPE-08,56,0.092498779296875,45,0.083740234375,0.092498779296875
RPE,RPE-01,48,0.0824737548828125,40,0.0760345458984375,0.0824737548828125
RPE,RPE-11,44,0.0752716064453125,41,0.06878280639648438,0.0752716064453125
RPE,RPE-04,66,0.0746307373046875,34,0.0561981201171875,0.0746307373046875
RPE,RPE-06,86,0.1330718994140625,47,0.111602783203125,0.1330718994140625
RPE,RPE-03,36,0.076934814453125,39,0.07116317749023438,0.076934814453125
RPE,RPE-04,47,0.072906494140625,37,0.060638427734375,0.072906494140625
RPE,RPE-06,51,0.0839080810546875,39,0.07851028442382812,0.0839080810546875
RPE,RPE-07,47,0.095062255859375,52,0.09452056884765625,0.095062255859375
RPE,RPE-04,68,0.128875732421875,66,0.12075042724609375,0.128875732421875
RPE,RPE-10,68,0.1096038818359375,68,0.12885665893554688,0.1096038818359375
RPE,RPE-07,58,0.115936279296875,60,0.11161041259765625,0.115936279296875
RPE,RPE-03,43,0.08221435546875,41,0.0803070068359375,0.08221435546875
RPE,RPE-03,48,0.087493896484375,49,0.0875244140625,0.087493896484375
RPE,RPE-10,72,0.1278839111328125,60,0.1109161376953125,0.1278839111328125
RPE,RPE-05,53,0.0831146240234375,42,0.07275772094726562,0.0831146240234375
RPE,RPE-07,64,0.1320648193359375,61,0.12897491455078125,0.1320648193359375
RPE,RPE-03,52,0.10321044921875,50,0.09721755981445312,0.10321044921875
RPE,RPE-01,38,0.0606842041015625,30,0.0482177734375,0.0606842041015625
RPE,RPE-11,49,0.0832977294921875,45,0.0914764404296875,0.0832977294921875
RPE,RPE-04,28,0.0505218505859375,25,0.04691314697265625,0.0505218505859375
RPE,RPE-01,51,0.1049041748046875,59,0.11046600341796875,0.1049041748046875
RPE,RPE-11,61,0.11962890625,78,0.1252899169921875,0.11962890625
RPE,RPE-08,45,0.077667236328125,38,0.065704345703125,0.077667236328125
RPE,RPE-01,71,0.1014556884765625,53,0.0920562744140625,0.1014556884765625
RPE,RPE-02,44,0.091766357421875,45,0.08741378784179688,0.091766357421875
RPE,RPE-09,56,0.0928192138671875,52,0.08435821533203125,0.0928192138671875
RPE,RPE-10,46,0.0745697021484375,48,0.07310867309570312,0.0745697021484375
RPE,RPE-04,80,0.1337432861328125,62,0.11977386474609375,0.1337432861328125
RPE,RPE-07,63,0.1088409423828125,52,0.10388946533203125,0.1088409423828125
RPE,RPE-09,48,0.10162353515625,58,0.09817886352539062,0.10162353515625
RPE,RPE-07,64,0.0934295654296875,35,0.0750885009765625,0.0934295654296875
RPE,RPE-08,58,0.0944671630859375,36,0.07847976684570312,0.0944671630859375
RPE,RPE-08,28,0.04608154296875,23,0.040126800537109375,0.04608154296875
RPE,RPE-08,60,0.1062774658203125,53,0.10057830810546875,0.1062774658203125
RPE,RPE-04,64,0.1107330322265625,41,0.06877517700195312,0.1107330322265625
RPE,RPE-07,52,0.0871124267578125,41,0.08264541625976562,0.0871124267578125
RPE,RPE-06,66,0.1199188232421875,62,0.11928558349609375,0.1199188232421875
RPE,RPE-10,53,0.1250762939453125,60,0.11964797973632812,0.1250762939453125
RPE,RPE-02,32,0.0638275146484375,33,0.06583404541015625,0.0638275146484375
RPE,RPE-07,58,0.115447998046875,53,0.1065521240234375,0.115447998046875
RPE,RPE-01,52,0.1109619140625,62,0.12041473388671875,0.1109619140625
RPE,RPE-05,46,0.067230224609375,32,0.054111480712890625,0.067230224609375
RPE,RPE-09,69,0.1106414794921875,62,0.10618972778320312,0.1106414794921875
RPE,RPE-10,95,0.130828857421875,36,0.07927703857421875,0.130828857421875
RPE,RPE-06,55,0.0825347900390625,40,0.07194137573242188,0.0825347900390625
RPE,RPE-02,57,0.1175384521484375,62,0.12162399291992188,0.1175384521484375
RPE,RPE-11,65,0.104034423828125,47,0.09219741821289062,0.104034423828125
RPE,RPE-02,43,0.0937957763671875,61,0.09635543823242188,0.0937957763671875
RPE,RPE-11,42,0.0652618408203125,30,0.0524139404296875,0.0652618408203125
RPE,RPE-11,73,0.091644287109375,51,0.0802764892578125,0.091644287109375
RPE,RPE-01,85,0.1477813720703125,70,0.12871551513671875,0.1477813720703125
RPE,RPE-11,54,0.07489013671875,35,0.061065673828125,0.07489013671875
RPE,RPE-04,54,0.083099365234375,42,0.0726318359375,0.083099365234375
RPE,RPE-11,41,0.087158203125,41,0.08057022094726562,0.087158203125
RPE,RPE-03,72,0.1371612548828125,75,0.13666152954101562,0.1371612548828125
RPE,RPE-08,70,0.129608154296875,62,0.12401580810546875,0.129608154296875
RPE,RPE-05,61,0.096343994140625,43,0.0840301513671875,0.096343994140625
RPE,RPE-02,56,0.101043701171875,54,0.10169601440429688,0.101043701171875
RPE,RPE-07,62,0.116485595703125,62,0.1158294677734375,0.116485595703125
RPE,RPE-01,65,0.1317138671875,73,0.14447021484375,0.1317138671875
RPE,RPE-01,58,0.1065826416015625,53,0.10700607299804688,0.1065826416015625
RPE,RPE-07,32,0.0502471923828125,23,0.038379669189453125,0.0502471923828125
RPE,RPE-04,79,0.117279052734375,53,0.10493087768554688,0.117279052734375
RPE,RPE-07,39,0.0491180419921875,24,0.037372589111328125,0.0491180419921875
RPE,RPE-06,47,0.0797271728515625,40,0.06632232666015625,0.0797271728515625
RPE,RPE-06,29,0.0514373779296875,24,0.04958343505859375,0.0514373779296875
RPE,RPE-07,39,0.0845184326171875,39,0.0792694091796875,0.0845184326171875
RPE,RPE-05,58,0.0943603515625,39,0.07788467407226562,0.0943603515625
RPE,RPE-08,56,0.1073760986328125,52,0.10291290283203125,0.1073760986328125
RPE,RPE-07,51,0.0909271240234375,33,0.0754241943359375,0.0909271240234375
RPE,RPE-10,73,0.149688720703125,80,0.14518356323242188,0.149688720703125
RPE,RPE-10,44,0.10028076171875,52,0.10372543334960938,0.10028076171875
RPE,RPE-08,38,0.0637664794921875,37,0.05867767333984375,0.0637664794921875
RPE,RPE-07,32,0.0565948486328125,15,0.023956298828125,0.0565948486328125
RPE,RPE-03,65,0.102630615234375,64,0.10691070556640625,0.102630615234375
RPE,RPE-08,20,0.0397491455078125,21,0.0408172607421875,0.0397491455078125
RPE,RPE-09,52,0.1012115478515625,57,0.09695816040039062,0.1012115478515625
RPE,RPE-01,43,0.07843017578125,50,0.0833892822265625,0.07843017578125
RPE,RPE-09,20,0.048797607421875,24,0.034206390380859375,0.048797607421875
RPE,RPE-09,65,0.133636474609375,62,0.1357269287109375,0.133636474609375
RPE,RPE-02,85,0.110626220703125,66,0.10486221313476562,0.110626220703125
RPE,RPE-08,37,0.073822021484375,34,0.06824111938476562,0.073822021484375
RPE,RPE-01,44,0.0816650390625,44,0.08099365234375,0.0816650390625
RPE,RPE-09,69,0.126617431640625,68,0.11836624145507812,0.126617431640625
RPE,RPE-09,78,0.14398193359375,74,0.1440887451171875,0.14398193359375
U2OS,U2OS-05,44,0.12384033203125,47,0.11505889892578125,0.12384033203125
U2OS,U2OS-04,110,0.2869110107421875,167,0.2807807922363281,0.2869110107421875
U2OS,U2OS-05,52,0.1191253662109375,55,0.11235427856445312,0.1191253662109375
U2OS,U2OS-01,62,0.1443023681640625,64,0.13884735107421875,0.1443023681640625
U2OS,U2OS-02,144,0.35498046875,235,0.33165740966796875,0.35498046875
U2OS,U2OS-04,145,0.296112060546875,177,0.2845954895019531,0.296112060546875
U2OS,U2OS-05,104,0.27166748046875,147,0.2513542175292969,0.27166748046875
U2OS,U2OS-05,126,0.3292236328125,175,0.31276702880859375,0.3292236328125
U2OS,U2OS-01,21,0.0607757568359375,23,0.042110443115234375,0.0607757568359375
U2OS,U2OS-04,146,0.3485870361328125,228,0.33837127685546875,0.3485870361328125
U2OS,U2OS-04,123,0.2739410400390625,164,0.25048828125,0.2739410400390625
U2OS,U2OS-03,87,0.2174835205078125,96,0.20944595336914062,0.2174835205078125
U2OS,U2OS-02,85,0.2463531494140625,126,0.229400634765625,0.2463531494140625
U2OS,U2OS-02,69,0.1733551025390625,77,0.14813613891601562,0.1733551025390625
U2OS,U2OS-03,105,0.2984771728515625,167,0.27933502197265625,0.2984771728515625
U2OS,U2OS-03,106,0.2320709228515625,190,0.21871185302734375,0.2320709228515625
U2OS,U2OS-04,132,0.3013916015625,184,0.2973518371582031,0.3013916015625
U2OS,U2OS-01,70,0.1591949462890625,66,0.15250778198242188,0.1591949462890625
U2OS,U2OS-01,53,0.0935821533203125,56,0.0833892822265625,0.0935821533203125
U2OS,U2OS-05,5,0.013885498046875,2,0.001552581787109375,0.013885498046875
U2OS,U2OS-01,45,0.0733184814453125,40,0.060779571533203125,0.0733184814453125
U2OS,U2OS-01,105,0.250152587890625,117,0.2521934509277344,0.250152587890625
U2OS,U2OS-04,116,0.3307342529296875,196,0.32607269287109375,0.3307342529296875
U2OS,U2OS-04,165,0.3668365478515625,263,0.35774993896484375,0.3668365478515625
U2OS,U2OS-05,101,0.2783203125,113,0.21908187866210938,0.2783203125
U2OS,U2OS-02,94,0.1911468505859375,112,0.18868255615234375,0.1911468505859375
U2OS,U2OS-04,159,0.350921630859375,258,0.3442802429199219,0.350921630859375
